Sample	Fws
PD0607-C	0.9964664000000001
PD0608-C	0.99818265
PD0609-C	0.7141076999999999
PD0610-C	0.9964771000000001
PD0611-C	0.46757084
PD0612-C	0.9147056999999998
PD0613-C	0.70750046
PD0614-C	0.24731578
PD0615-C	0.9938743
PD0617-C	0.99565035
PD0618-C	0.9982021999999999
PD0619-C	0.9981745000000001
PD0620-C	0.9994325999999999
PD0624-C	0.99606043
PD0625-C	0.83550894
PD0647-C	0.9961595999999999
PD0674-C	0.5420524999999999
PD0675-C	0.9961218000000001
PD0676-C	0.99443907
PD0678-C	0.99819577
PD0679-C	0.8268716
PD0680-C	0.47491629999999996
PD0681-C	0.9980043
PD0682-CW	0.9978878000000001
PD0684-C	0.65955627
PD0685-C	0.71700424
PD0686-C	0.9981875
PD0687-C	0.98659855
PD0688-C	0.9984864
PD0689-C	0.9961884
PD0690-C	0.9968071
PD0691-C	0.97342944
PD0692-C	0.998359
PD0693-C	0.9291351000000001
PD0694-C	0.99833935
PD0695-C	0.99635696
PD0696-C	0.9964599000000001
PD0697-C	0.99718326
PD0698-C	0.98922634
PD0699-C	0.9992331
PD0700-C	0.4614044
PD0701-C	0.9958502
PD0702-C	0.9960039
PD0703-C	0.99576646
PD0704-C	0.99899936
PD0705-C	0.99310106
PD0706-C	0.9601443000000001
PD0707-C	0.99814296
PD0708-C	0.9957127
PD0709-C	0.9959964
PD0710-C	0.9411806999999999
PD0711-C	0.99916697
PD0712-C	0.9974381999999999
PD0713-C	0.55210406
PD0714-C	0.9992226000000001
PD0715-C	0.99918085
PD1519-C	0.9983537
PD1520-C	0.8224663000000001
PD1521-C	0.9982068999999999
PD1522-C	0.99812204
PD1526-C	0.99228597
PD1529-C	0.9967251
PD1530-C	0.83200294
PD1531-C	0.57289934
PD1532-C	0.795981
PD1534-C	0.996822
PH0066-CW	0.9206774999999999
PH0067-C	0.99610364
PH0068-C	0.9908486999999999
PH0073-CW	0.9910542
PH0075-C	0.9981764999999999
PH0078-CW	0.99261844
PH0079-CW	0.99882084
PH0081-CW	0.99851733
PH0084-CW	0.997872
PH0086-C	0.99868697
PH0087-CW	0.9994613999999999
PH0089-C	0.99706703
PH0090-CW	0.99781793
PH0096-CW	0.9956872999999999
PH0098-C	0.74770576
PH0099-CW	0.8286194
PH0177-C	0.9320774
PH0178-C	0.9964924999999999
PH0180-C	0.7071770000000001
PH0181-CW	0.9969254999999999
PH0182-C	0.72183526
PH0184-C	0.9961481
PH0185-CW	0.6436586
PH0186-CW	0.5366799
PH0187-C	0.66231316
PH0190-C	0.9959946
PH0310-C	0.9231360999999999
PH0311-CW	0.4724474
PH0312-C	0.9954099000000001
PH0320-C	0.7891608
PH1078-C	0.97925186
PH1084-C	0.9234984
PH1109-C	0.9949261999999999
PH1111-C	0.99932986
PH1112-C	0.9982589
PH1113-C	0.42295527
PH1115-C	0.9962555000000001
PH1116-C	0.8209634
PH1117-C	0.80150473
PH1119-C	0.8432166999999999
PH1121-C	0.9970651
PH1124-C	0.9989421
PH1125-C	0.99760216
PH1126-C	0.5781350000000001
PH1131-C	0.9959007
PH1132-C	0.95764667
PH1133-C	0.7996799
PH1135-C	0.9963972
PJ0004-C	0.9994881999999999
PJ0006-CW	0.8930938
PJ0007-C	0.82022893
PJ0008-C	0.55657405
PJ0011-C	0.82731813
PJ0012-Cx	0.99850583
PJ0013-C	0.7117243000000001
PJ0016-C	0.3003209
PJ0018-C	0.91256195
PJ0019-CW	0.3469692
PJ0020-CW	0.96376824
PJ0021-CW	0.99640536
PJ0022-CW	0.992986
PJ0024-C	0.8875163
PJ0025-C	0.9963738999999999
PJ0026-CW	0.9990761999999999
PJ0027-C	0.99723285
PJ0030-C	0.99926025
PJ0031-C	0.59551805
PJ0032-C	0.9960793
PJ0033-C	0.8509703000000002
